Level_id,Agg_Level_1,Agg_Level_2,Dollar_Sales,weight
Level12,HOBBIES_1_001,CA_1,276.54,7.09E-05
Level12,HOBBIES_1_002,CA_1,27.79,7.12E-06
Level12,HOBBIES_1_003,CA_1,62.37,1.60E-05
Level12,HOBBIES_1_004,CA_1,227.36,5.83E-05
Level12,HOBBIES_1_005,CA_1,112.32,2.88E-05
Level12,HOBBIES_1_006,CA_1,28.8,7.38E-06
Level12,HOBBIES_1_007,CA_1,63.04,1.62E-05
Level12,HOBBIES_1_008,CA_1,147.36,3.78E-05
Level12,HOBBIES_1_009,CA_1,31.86,8.17E-06
Level12,HOBBIES_1_010,CA_1,44.55,1.14E-05
Level12,HOBBIES_1_011,CA_1,3.48,8.92E-07
Level12,HOBBIES_1_012,CA_1,45.64,1.17E-05
Level12,HOBBIES_1_013,CA_1,25.61,6.57E-06
Level12,HOBBIES_1_014,CA_1,49.88,1.28E-05
Level12,HOBBIES_1_015,CA_1,49.7,1.27E-05
Level12,HOBBIES_1_016,CA_1,103.6,2.66E-05
Level12,HOBBIES_1_017,CA_1,89.1,2.28E-05
Level12,HOBBIES_1_018,CA_1,35.64,9.14E-06
Level12,HOBBIES_1_019,CA_1,93.12,2.39E-05
Level12,HOBBIES_1_020,CA_1,25.36,6.50E-06
Level12,HOBBIES_1_021,CA_1,403.92,0.000103543
Level12,HOBBIES_1_022,CA_1,28.72,7.36E-06
Level12,HOBBIES_1_023,CA_1,118.8,3.05E-05
Level12,HOBBIES_1_024,CA_1,42.8,1.10E-05
Level12,HOBBIES_1_025,CA_1,59.7,1.53E-05
Level12,HOBBIES_1_026,CA_1,89.85,2.30E-05
Level12,HOBBIES_1_027,CA_1,299.7,7.68E-05
Level12,HOBBIES_1_028,CA_1,207.48,5.32E-05
Level12,HOBBIES_1_029,CA_1,368.18,9.44E-05
Level12,HOBBIES_1_030,CA_1,93.1,2.39E-05
Level12,HOBBIES_1_031,CA_1,43.92,1.13E-05
Level12,HOBBIES_1_032,CA_1,87.78,2.25E-05
Level12,HOBBIES_1_033,CA_1,101.16,2.59E-05
Level12,HOBBIES_1_034,CA_1,63.18,1.62E-05
Level12,HOBBIES_1_035,CA_1,2.12,5.43E-07
Level12,HOBBIES_1_036,CA_1,28,7.18E-06
Level12,HOBBIES_1_037,CA_1,246.43,6.32E-05
Level12,HOBBIES_1_038,CA_1,57.96,1.49E-05
Level12,HOBBIES_1_039,CA_1,5.88,1.51E-06
Level12,HOBBIES_1_040,CA_1,320.01,8.20E-05
Level12,HOBBIES_1_041,CA_1,37.98,9.74E-06
Level12,HOBBIES_1_042,CA_1,101.79,2.61E-05
Level12,HOBBIES_1_043,CA_1,32.2,8.25E-06
Level12,HOBBIES_1_044,CA_1,20.72,5.31E-06
Level12,HOBBIES_1_045,CA_1,31.74,8.14E-06
Level12,HOBBIES_1_046,CA_1,430.56,0.000110372
Level12,HOBBIES_1_047,CA_1,60.18,1.54E-05
Level12,HOBBIES_1_048,CA_1,217.44,5.57E-05
Level12,HOBBIES_1_049,CA_1,70.92,1.82E-05
Level12,HOBBIES_1_050,CA_1,241.56,6.19E-05
Level12,HOBBIES_1_051,CA_1,35.88,9.20E-06
Level12,HOBBIES_1_052,CA_1,17.64,4.52E-06
Level12,HOBBIES_1_053,CA_1,19.85,5.09E-06
Level12,HOBBIES_1_054,CA_1,17.82,4.57E-06
Level12,HOBBIES_1_055,CA_1,682.48,0.000174951
Level12,HOBBIES_1_056,CA_1,30.08,7.71E-06
Level12,HOBBIES_1_057,CA_1,141.52,3.63E-05
Level12,HOBBIES_1_058,CA_1,35.93,9.21E-06
Level12,HOBBIES_1_060,CA_1,479.36,0.000122882
Level12,HOBBIES_1_061,CA_1,19.81,5.08E-06
Level12,HOBBIES_1_062,CA_1,3.88,9.95E-07
Level12,HOBBIES_1_063,CA_1,10.94,2.80E-06
Level12,HOBBIES_1_064,CA_1,77.82,1.99E-05
Level12,HOBBIES_1_065,CA_1,4.88,1.25E-06
Level12,HOBBIES_1_066,CA_1,5,1.28E-06
Level12,HOBBIES_1_067,CA_1,80.37,2.06E-05
Level12,HOBBIES_1_068,CA_1,203,5.20E-05
Level12,HOBBIES_1_069,CA_1,79.38,2.03E-05
Level12,HOBBIES_1_070,CA_1,23.52,6.03E-06
Level12,HOBBIES_1_072,CA_1,57.13,1.46E-05
Level12,HOBBIES_1_073,CA_1,27.35,7.01E-06
Level12,HOBBIES_1_074,CA_1,124.78,3.20E-05
Level12,HOBBIES_1_075,CA_1,84,2.15E-05
Level12,HOBBIES_1_076,CA_1,65.17,1.67E-05
Level12,HOBBIES_1_077,CA_1,132.44,3.40E-05
